genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
c1d	3	1.38919452842489e-10	-1.1624311922014	0.122	0.246	3.29433590470678e-06
stat1a	3	1.38950363434635e-10	0.73674743735725	0.589	0.453	3.29506891848894e-06
nfyba	3	1.39096071301664e-10	-0.840175571857814	0.271	0.415	3.29852423484765e-06
hspa14	3	1.39324927296066e-10	-1.12168939829927	0.11	0.232	3.30395132589891e-06
oaz1b	3	1.42568371376542e-10	-0.329089212195012	0.922	0.954	3.38086635882333e-06
si:ch73-311h14.2	3	1.4334163271831e-10	-1.33210917796964	0.068	0.175	3.39920347828201e-06
marcksl1a	3	1.57634427424695e-10	-0.474314126543732	0.885	0.919	3.73814281194921e-06
sdhc	3	1.58177188991011e-10	-0.634847181203076	0.3	0.461	3.75101385973283e-06
rplp1	3	1.60437980946308e-10	-0.265636548329294	1	1	3.80462628016075e-06
nfybb	3	1.62092942808825e-10	-1.1823307496391	0.109	0.231	3.84387204576847e-06
bsdc1	3	1.64212739996097e-10	-1.01823335537701	0.147	0.281	3.89414091626745e-06
ccdc12	3	1.64425568629766e-10	-1.25097241524424	0.106	0.226	3.89918793448628e-06
denr	3	1.64630945668545e-10	-0.61920929745753	0.349	0.515	3.90405824558389e-06
aurkaip1	3	1.6744108732813e-10	-1.12527819378393	0.126	0.253	3.97069794489928e-06
hivep1	3	1.67481681107381e-10	0.920397515960242	0.439	0.289	3.97166058578044e-06
tmem39a	3	1.68702468338623e-10	-0.989945143838018	0.141	0.273	4.00061033418211e-06
nedd8l	3	1.69836475241317e-10	-1.17625375902898	0.106	0.226	4.0275021738726e-06
dctn5	3	1.69839969474909e-10	-1.05748679786063	0.134	0.264	4.02758503612798e-06
ndufa3	3	1.74183289598205e-10	-0.577955963204695	0.351	0.525	4.13058252953183e-06
edf1	3	1.82678841023549e-10	-0.352781245564729	0.858	0.917	4.33204603603244e-06
lrpap1	3	1.83771246475511e-10	-0.883288525540194	0.18	0.323	4.35795133892027e-06
ndufa4l	3	1.89009367262296e-10	-0.272633428123583	0.948	0.994	4.48216813525809e-06
cnbpa	3	1.89832567740508e-10	-0.499423634977699	0.644	0.771	4.50168951139842e-06
zfpl1	3	1.93913420120218e-10	-1.98898686081315	0.025	0.103	4.59846284473085e-06
naa40.1	3	1.95900897146536e-10	-1.19207872619067	0.157	0.286	4.64559387493295e-06
rps5	3	2.0007079616135e-10	-0.260405190064551	1	1	4.74447886017026e-06
snrnp27	3	2.08474016866608e-10	-0.732647107553369	0.249	0.401	4.94375283597473e-06
sec61a1l	3	2.1114834260039e-10	-1.19295868659665	0.115	0.237	5.00717179642564e-06
mt-nd4l	3	2.11319595532769e-10	-1.32759369684715	0.083	0.192	5.01123288846407e-06
atp6v1f	3	2.16616320477697e-10	-1.4534930363563	0.073	0.18	5.13683942380811e-06
prkcsh	3	2.21218963688024e-10	-0.841929326013797	0.269	0.41	5.24598650489781e-06
hmgb2b	3	2.29790778987674e-10	-0.673410215895455	0.728	0.841	5.4492585329137e-06
gtf2f1	3	2.32523987972488e-10	-1.01905448608947	0.171	0.307	5.51407385077957e-06
ift46	3	2.33888263771519e-10	-1.36269749780306	0.065	0.169	5.5464262870778e-06
psmg2	3	2.36339460188237e-10	-1.20657829588578	0.119	0.243	5.60455395890384e-06
nkain1	3	2.37918561282014e-10	-0.923330669162479	0.209	0.351	5.64200076224169e-06
snx3	3	2.42174441091948e-10	-0.810103247633365	0.201	0.345	5.74292469605446e-06
ube2v2	3	2.47097552540633e-10	-0.436189700182125	0.815	0.887	5.85967136094858e-06
rbmx2	3	2.59875266635506e-10	-1.70730425943891	0.054	0.149	6.16268207299438e-06
aldh18a1	3	2.61478476734202e-10	-1.48033910831263	0.062	0.162	6.20070059727488e-06
emc6	3	2.61795389683112e-10	-0.624441839243389	0.282	0.442	6.20821587094531e-06
nsg2	3	2.67945599884024e-10	-1.31760960827453	0.162	0.291	6.35406195564975e-06
fam168a	3	2.76768255210159e-10	-0.914935562314384	0.395	0.534	6.5632824040537e-06
ik	3	2.77636950250814e-10	-0.829569675805772	0.22	0.369	6.5838826382478e-06
hibadhb	3	2.79046484507899e-10	-0.873334887770585	0.14	0.273	6.61730833362031e-06
zgc:56106	3	2.82800873514256e-10	-1.20922301714135	0.09	0.203	6.70633991451706e-06
bbip1	3	2.8425971113472e-10	-0.945761715301807	0.109	0.232	6.74093478984875e-06
dtd1	3	2.85167843449879e-10	-1.40249850586104	0.085	0.194	6.76247023957044e-06
dync1li2	3	2.89625352931394e-10	-1.11784937729145	0.124	0.246	6.86817561941509e-06
rpl7a	3	2.89889168376146e-10	-0.268017873978612	1	1	6.87443173887192e-06
sdf2l1	3	2.98375833239879e-10	-0.964188965983626	0.165	0.3	7.07568450945049e-06
smn1	3	2.99435982887561e-10	-1.39337711589249	0.057	0.156	7.10082489819563e-06
prrc1	3	3.00252008959757e-10	-1.3672509840899	0.065	0.169	7.12017614047168e-06
elob.1	3	3.00305704797184e-10	-0.542433486144443	0.454	0.61	7.12144948356042e-06
kmt2ca	3	3.05811193067808e-10	1.23533121939611	0.25	0.121	7.25200663241e-06
pfdn1	3	3.06624348229069e-10	-0.631109081091307	0.365	0.51	7.27128979390414e-06
impad1	3	3.162718201378e-10	-1.45690164997002	0.045	0.137	7.50006994274778e-06
gtf2e2	3	3.24105524338523e-10	-0.905197578402505	0.168	0.304	7.68583840416374e-06
rpl18	3	3.27933811265371e-10	-0.261009761977688	1	1	7.77662240034701e-06
seh1l	3	3.289501906223e-10	-1.25884560550275	0.094	0.208	7.80072482041722e-06
chmp2a	3	3.43154898829382e-10	-0.577840971951941	0.475	0.615	8.13757527083998e-06
usp39	3	3.4324519230882e-10	-1.42897071722223	0.062	0.162	8.13971649041135e-06
CU694197.1	3	3.48866316260142e-10	-0.60448490335634	0.284	0.45	8.27301582379301e-06
eif3s6ip	3	3.49559099477077e-10	-0.49002853827367	0.71	0.795	8.2894444849994e-06
mrps14	3	3.53593394515129e-10	-0.825466552132622	0.23	0.375	8.38511375753176e-06
pdia6	3	3.55599245788587e-10	-0.824558331264219	0.259	0.41	8.43268051463056e-06
srsf7a	3	3.62451202944979e-10	-0.649388412633884	0.481	0.626	8.59516782663723e-06
cetn3	3	3.62807081568594e-10	-0.959268242345005	0.106	0.227	8.60360713231764e-06
dpm2	3	3.81281518259937e-10	-1.05457520244073	0.134	0.261	9.04170992401614e-06
fcf1	3	3.82063333102486e-10	-1.041693911144	0.118	0.24	9.06024988119236e-06
mff	3	3.86061387171015e-10	-0.975007945122413	0.154	0.288	9.15505973537344e-06
pip4k2ca	3	3.87246879351543e-10	-0.805831454157331	0.16	0.3	9.18317249694249e-06
