genes	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
h1f0	1	0	-6.25341186019394	0.154	0.959	0
histh1l	1	0	-5.71832204467757	0.36	0.997	0
h1fx	1	0	-4.98763001536753	0.171	0.772	0
h2afx1	1	0	-2.53714451154245	0.759	0.994	0
cirbpb	1	3.32507950925357e-236	-1.15769870132837	0.987	1	7.88509354824392e-232
hist2h2l	1	2.38615550236525e-232	-2.71116168143949	0.284	0.79	5.65852915830895e-228
nfil3-5	1	6.42122702239212e-221	-2.95219671563286	0.161	0.624	1.52272977609007e-216
hsp90aa1.2	1	5.35898871568457e-220	2.04342353272505	0.982	0.858	1.27083058403744e-215
hspa4a	1	7.37710239584547e-215	1.98888985022249	0.935	0.714	1.7494060621508e-210
si:dkey-262k9.2	1	2.20882321028105e-211	-5.597805725343	0.023	0.342	5.23800336086049e-207
lcp1	1	3.63469929551401e-205	-3.9004566618214	0.045	0.402	8.61932590938192e-201
zgc:110425	1	4.06352724826723e-196	-2.65193563184356	0.038	0.381	9.6362485165409e-192
hmgb1a	1	9.38355198503627e-195	-2.06266349690928	0.31	0.786	2.2252155177315e-190
zgc:153409	1	1.72839041026794e-187	-1.52454885760825	0.614	0.936	4.09870501890939e-183
her12	1	3.87869047465154e-184	-3.63258166791304	0.128	0.528	9.19792659158866e-180
CR936442.1	1	9.10156335558754e-173	-5.50247188838758	0.012	0.264	2.15834473414403e-168
phlda2	1	3.45155616271771e-167	-1.65580242051312	0.653	0.95	8.18502028426878e-163
her15.1	1	1.34435159226893e-156	-2.38028340517694	0.305	0.751	3.18799536590655e-152
psmd3	1	2.45438048976315e-153	-1.78806053786373	0.311	0.73	5.82031789342432e-149
psmd8	1	4.93406560276651e-153	-1.86071363168826	0.21	0.633	1.17006431704005e-148
pdcd4b	1	1.09854578931498e-151	2.19849799509342	0.747	0.401	2.60509148478154e-147
psma3	1	3.93373148807482e-147	-1.53972805804554	0.386	0.796	9.32845085082062e-143
brdt	1	5.04272507526078e-147	2.0800160267508	0.737	0.393	1.19583182434734e-142
psma4	1	1.30316310833105e-145	-1.69572739727849	0.348	0.761	3.09032099509625e-141
ost4	1	4.28578099372642e-143	-1.84566254093486	0.237	0.648	1.01633010485228e-138
hmgb2a	1	1.15356308409451e-141	-1.19082307896202	0.654	0.95	2.73555949762173e-137
odc1	1	2.28876383546926e-141	-1.90936438577232	0.247	0.66	5.42757455943181e-137
cyp1a	1	8.47414163944608e-140	3.08407977200625	0.81	0.597	2.00955794837824e-135
pomp	1	1.47409767421765e-139	-1.39735451456856	0.455	0.846	3.49567522463975e-135
fxyd6l	1	5.05624757014509e-139	-2.34205892754941	0.316	0.653	1.19903854878421e-134
ndufa1	1	2.272926975988e-136	-1.54420494819506	0.376	0.778	5.39001903085794e-132
mmp14b	1	2.0169708265213e-135	-2.75567476047108	0.204	0.539	4.78304461801262e-131
micall2a	1	3.23006301552153e-135	-2.30359067830335	0.242	0.585	7.65977143500775e-131
psmb4	1	3.36058721288778e-135	-1.49419793849167	0.349	0.764	7.96929651664207e-131
pcdh19	1	3.47896774574714e-135	-3.94109241634194	0.047	0.31	8.25002411226477e-131
DNAJA4	1	1.18953471394583e-134	2.76462934727078	0.645	0.255	2.82086262065115e-130
cirbpa	1	1.09226935584716e-133	-1.0056162691757	0.957	0.995	2.59020755045596e-129
nfkbiaa	1	5.18669826178722e-132	-1.77304724344392	0.539	0.89	1.22997362580022e-127
si:rp71-45k5.4	1	1.0590163879763e-131	-1.70506039623899	0.261	0.66	2.511351462447e-127
plekho1a	1	2.13461877715045e-131	-5.68572722024237	0.006	0.189	5.06203496813458e-127
psma5	1	4.1012726471687e-131	-1.82098704985285	0.189	0.575	9.72575795549585e-127
myl12.1	1	5.33570534581425e-130	-0.852671829746021	0.981	1	1.26530916570639e-125
hbbe1.1	1	2.6963784386038e-129	-2.12391156574513	0.052	0.321	6.39419182930506e-125
psmb3	1	3.18062147187211e-129	-1.42543310723439	0.479	0.831	7.54252575839753e-125
psmb6	1	4.57002150665332e-129	-1.4252358175843	0.35	0.757	1.08373490008777e-124
psmc5	1	6.15978121373167e-128	-1.7570638600943	0.232	0.619	1.46073051702433e-123
pik3r5	1	3.02151599318839e-127	-3.24445409049536	0.053	0.319	7.16522302624694e-123
ahsa1b	1	5.66140391863408e-126	2.12467670489388	0.679	0.339	1.34254532526489e-121
sumo3a	1	1.15483626188526e-122	-1.5476370627794	0.263	0.663	2.7385787114347e-118
chordc1a	1	7.07305048035077e-121	2.49553154395342	0.552	0.128	1.67730319091038e-116
pvalb1	1	1.86073506991009e-120	2.63948670531403	0.489	0.064	4.41254714478479e-116
mt-atp8	1	4.58357815201814e-120	-2.70377080953299	0.069	0.347	1.08694972296958e-115
atp5md	1	7.56555322506906e-120	-1.37486884211617	0.441	0.817	1.79409529179288e-115
her2	1	1.40870006793624e-119	-2.87369282700992	0.171	0.504	3.34059134110399e-115
sem1	1	5.09617251991305e-119	-1.08694836784753	0.73	0.951	1.20850635137218e-114
atp5mc1	1	2.10514471621744e-118	-1.45735594641651	0.406	0.773	4.99214018003803e-114
her4.1	1	3.31286328334957e-118	-3.797677408051	0.055	0.311	7.85612399013516e-114
txnipa	1	5.86843887624149e-117	-1.32179284640715	0.886	0.985	1.39164159511191e-112
tpm3	1	6.61825666744137e-117	-1.00536509311	0.834	0.977	1.56945338611705e-112
psmb1	1	2.72018630184342e-116	-1.30368748309707	0.534	0.866	6.45064979619149e-112
junbb	1	4.49115841197942e-116	-1.58722427786035	0.714	0.963	1.0650333058168e-111
psmc1a	1	1.39651756890572e-115	-2.24420579946284	0.12	0.431	3.31170176290303e-111
cox7c	1	8.51141285124499e-115	-1.02502065133583	0.925	0.985	2.01839644354424e-110
serpinh1b	1	3.01620242116932e-114	1.82046408270803	0.773	0.534	7.15262242156093e-110
tacc1	1	6.85943020640311e-114	2.4393975151959	0.558	0.159	1.62664527914643e-109
ppt1	1	1.28770124676209e-113	-1.37845050175736	0.35	0.729	3.05365473657161e-109
mt-atp6	1	2.98108479990238e-113	-0.958881303559624	0.999	0.997	7.06934449448849e-109
NC-002333.17	1	4.46830965951807e-112	0.606585967652288	1	0.998	1.05961495265812e-107
psma6a	1	5.75614138872321e-112	-2.14385470520383	0.116	0.422	1.36501136892182e-107
sumo2b	1	7.26370291170099e-112	-1.13708443244204	0.629	0.911	1.72251450848077e-107
arpc4l	1	1.51678875904102e-111	-1.17339052086245	0.517	0.86	3.59691286318988e-107
ilf3b	1	2.62827539741916e-110	-1.43353959163456	0.317	0.689	6.2326922774398e-106
sub1a	1	4.30899755795602e-110	-1.47247478713596	0.295	0.68	1.02183568089369e-105
akap12b	1	7.79566294823667e-110	1.31431027585635	0.974	0.925	1.84866351154484e-105
ndufab1b	1	1.85539609006285e-109	-1.65640861703766	0.153	0.492	4.39988628797504e-105
tmsb4x	1	6.88964193595083e-109	-0.976625444046414	1	1	1.63380968869138e-104
ndufb7	1	1.18468813623486e-108	-1.42962922568293	0.276	0.651	2.80936944626736e-104
tubb4b	1	6.97121794619156e-108	-0.812655592863834	0.984	0.995	1.65315462375987e-103
arrdc3b	1	7.00972281126618e-108	-1.8334118068214	0.34	0.686	1.66228566746366e-103
srsf3b	1	3.28621804484246e-107	-1.20471585522845	0.513	0.852	7.7929374715394e-103
atp5f1e	1	1.28776591470158e-106	-0.991760210198513	0.783	0.953	3.05380809012332e-102
snrpg	1	2.81269721382972e-106	-1.32837060173416	0.38	0.752	6.6700301728758e-102
prelid3b	1	1.08295587615346e-104	0.8877814264105	0.978	0.956	2.56812156471031e-100
oga	1	1.21556845555498e-104	-2.32477396837295	0.121	0.409	2.88259903550307e-100
copz1	1	1.26581516129355e-104	-1.18905595851539	0.414	0.785	3.00175407349152e-100
snrpe	1	1.20454751780962e-103	-1.26719730952248	0.383	0.762	2.85646398373373e-99
psmc2	1	1.29091916405407e-103	-1.7307689649408	0.202	0.539	3.06128570563781e-99
ndufb9	1	2.03255641483496e-103	-1.33396122568879	0.329	0.703	4.82000428213963e-99
zgc:193541	1	4.86389188361337e-103	-1.06521852762913	0.756	0.933	1.15342332128008e-98
smad7	1	7.36955091339124e-101	1.56241202113129	0.857	0.812	1.7476153036016e-96
her4.2	1	1.2085835568844e-100	-3.63752792733585	0.04	0.253	2.86603504679567e-96
psma1	1	1.28353881319492e-100	-1.19209611176118	0.475	0.817	3.04378394161043e-96
ilf2	1	2.43681399501923e-100	-1.37692796331671	0.314	0.676	5.7786607077886e-96
si:dkey-177p2.6	1	5.33421565717156e-100	1.22885461176215	0.847	0.743	1.26495590094166e-95
CABZ01030107.1	1	5.99678007028875e-100	-1.58905025025595	0.35	0.697	1.42207642586828e-95
brk1	1	6.41930809140083e-100	-1.41105140797318	0.309	0.656	1.52227472079479e-95
psmd4b	1	8.66375368115318e-100	-2.11146872809841	0.123	0.41	2.05452254794867e-95
arpc2	1	9.05735823187932e-100	-1.17411889166288	0.491	0.83	2.14786193110786e-95
hsp70.1	1	1.33443414112452e-99	2.13539821182684	0.788	0.585	3.16447712226268e-95
sap18	1	2.47169269529741e-99	-1.4013272209695	0.276	0.633	5.86137205762827e-95
lsm4	1	4.18907632409292e-99	-1.41937974117883	0.265	0.621	9.93397559495395e-95
ahnak	1	5.58590747585369e-99	1.29685898609094	0.837	0.689	1.32464209882394e-94
elocb	1	6.8986547091865e-99	-1.23206266583682	0.39	0.748	1.63594697773649e-94
ewsr1b	1	8.4790157910304e-99	-1.26103602872942	0.441	0.789	2.01071380468495e-94
tp53	1	3.8758490705879e-98	-1.70212799167218	0.229	0.565	9.19118848599214e-94
psmd13	1	6.18163638991003e-98	-1.52914163042237	0.248	0.584	1.46591325350327e-93
ube2e1	1	6.97979757265235e-98	-1.54401966767792	0.24	0.578	1.65518919637878e-93
mt-nd5	1	1.28166607451588e-97	-1.21051073037946	0.712	0.921	3.03934292910695e-93
eppk1	1	2.19513784586475e-97	2.21501562101849	0.562	0.211	5.20554988768366e-93
tmed7	1	1.75143714333564e-96	-1.16249593543601	0.462	0.806	4.15335804170614e-92
hbbe2	1	2.08026025839097e-96	-2.68209596979551	0.025	0.209	4.93312917674835e-92
selenof	1	2.48485002412689e-96	-1.1330201581681	0.485	0.816	5.8925733472145e-92
psma2	1	2.56159939746753e-96	-1.37130210014961	0.248	0.604	6.07457681115451e-92
her4.4	1	3.97708046616114e-96	-4.12234936197485	0.035	0.233	9.43124861745452e-92
atp1b1a	1	7.86199861180128e-96	0.852591273323811	0.985	0.97	1.86439435080256e-91
psmb5	1	1.20334376929563e-95	-1.48121361233651	0.269	0.611	2.85360941450765e-91
ndufb3	1	1.884651963416e-95	-1.35475403634022	0.289	0.647	4.4692636660447e-91
psma8	1	5.28286496083894e-95	-1.22928206494124	0.437	0.777	1.25277859681335e-90
cxcr4a	1	7.49723357570116e-95	-2.01152662266506	0.377	0.69	1.77789397014177e-90
mt-nd1	1	8.75769933235917e-95	-0.900646813770209	0.979	0.994	2.07680081967565e-90
acta1a	1	2.05096493050851e-94	-4.90502793018582	0.018	0.187	4.86365823620788e-90
tob1b	1	2.39151605463635e-94	0.997321244726628	0.93	0.869	5.67124117196463e-90
her4.2.1	1	3.19684236029221e-94	-3.30193386977015	0.041	0.247	7.58099197319695e-90
fkbp1aa	1	3.06777964071556e-93	-0.920649296886329	0.95	0.99	7.27493263999287e-89
spcs3	1	3.71482607261033e-93	-1.48223619916674	0.262	0.593	8.80933854858813e-89
tbca	1	4.84613030139932e-93	-1.32497369081265	0.314	0.658	1.14921133967383e-88
isg15	1	5.6152976539422e-93	-2.95064135929439	0.056	0.279	1.33161168565585e-88
ddx39aa	1	6.69473820075857e-93	-1.35019451247253	0.269	0.62	1.58759021692789e-88
hspb11	1	1.31932570848599e-92	-6.014216759258	0.011	0.161	3.12864898510368e-88
psmd7	1	4.40980008850771e-92	-1.35613113117751	0.326	0.668	1.04573999298872e-87
nfkbiab	1	1.31788627419064e-91	-1.22974653144475	0.812	0.957	3.12523551061568e-87
psmb2	1	1.58230641830747e-91	-1.17418399037127	0.415	0.758	3.75228144037433e-87
fus	1	1.72029120853589e-91	-2.27341288889791	0.083	0.331	4.07949857192202e-87
arpc3	1	2.9737110679572e-91	-1.2033371649971	0.645	0.895	7.0518584265537e-87
anp32b	1	5.01980746132666e-91	-1.36470109164941	0.244	0.585	1.190397141379e-86
hsbp1b	1	1.25735280586987e-90	-1.31253147155455	0.321	0.659	2.98168644383982e-86
gng5	1	1.36851514109271e-90	-0.935724584399781	0.774	0.952	3.24529680558726e-86
ube2v1	1	2.4452827287999e-90	-1.18548285365356	0.415	0.75	5.79874346307608e-86
sf3b6	1	6.56323800785704e-90	-1.1755699420309	0.388	0.731	1.55640626118322e-85
sap30l	1	1.32925989338347e-89	-1.22326257989207	0.357	0.705	3.15220691116957e-85
sec11a	1	2.44767443062003e-89	-1.73304296268459	0.235	0.534	5.80441514477234e-85
dynll1	1	1.14106603106596e-88	-1.26451093634818	0.753	0.919	2.70592398606983e-84
pfdn4	1	1.19152527223882e-88	-1.20838569751046	0.346	0.694	2.82558303058714e-84
dpy30	1	1.73927429387606e-88	-1.58052498665583	0.185	0.497	4.12451506049768e-84
psmd1	1	2.85249711409263e-88	-1.33412188546402	0.29	0.622	6.76441165635926e-84
mt-nd2	1	1.15661036718783e-87	-0.871118161500558	0.958	0.983	2.74278582474921e-83
ndufa12	1	1.16183192655251e-87	-1.56999674291818	0.168	0.468	2.75516823062663e-83
mt-nd4	1	4.95047723126949e-87	-0.856296336680275	0.972	0.987	1.17395617062325e-82
si:dkey-261h17.1	1	7.17371065765348e-87	2.05502955952312	0.583	0.291	1.70117374535595e-82
slc38a2	1	1.03124783165427e-86	1.19117867392372	0.867	0.808	2.44550110798493e-82
brd2a	1	1.05174358050174e-86	1.02516564091659	0.881	0.787	2.49410472680184e-82
nes	1	1.15910224721825e-86	-5.89877850884661	0.005	0.13	2.74869506905336e-82
si:ch211-191i18.2	1	2.15636905985406e-86	-4.62980684750289	0.005	0.129	5.11361358853791e-82
ywhabl	1	7.60295971165096e-86	-1.20101064626039	0.927	0.979	1.80296586602091e-81
ndufa8	1	1.42918762099968e-85	-1.3672818063582	0.255	0.578	3.38917552443863e-81
ndufb10	1	1.76178419304451e-85	-1.27370816136702	0.272	0.608	4.17789503538575e-81
grb10a	1	2.2945168800843e-85	1.69500637283624	0.595	0.253	5.44121732943192e-81
eny2	1	2.74012294605289e-85	-1.78369231338049	0.163	0.443	6.49792755426981e-81
eif4h	1	4.24577586599993e-85	-1.33014117096659	0.272	0.602	1.00684328886322e-80
lsm6	1	5.1673435203281e-85	-1.51559399262652	0.203	0.515	1.22538384241061e-80
ptp4a3	1	1.14967184298692e-84	-2.11238708713797	0.164	0.428	2.72633180845917e-80
tmem258	1	1.44728939022329e-84	-0.995519556654732	0.624	0.898	3.4321020599755e-80
atp5pd	1	1.97221541554944e-84	-0.969502776563374	0.625	0.882	4.67691163643395e-80
zfp36l1b	1	2.05734134436939e-84	0.845358893778322	0.961	0.929	4.87877926403757e-80
abracl	1	1.02451961888911e-83	-1.40238746783702	0.255	0.573	2.42954582423364e-79
tuft1a	1	1.15890875380116e-82	2.1843142787637	0.58	0.311	2.74823621876408e-78
reep5	1	1.47146440145195e-82	-0.951983156110813	0.567	0.871	3.48943068160315e-78
sms	1	1.7566649279428e-82	-3.28968093769613	0.032	0.208	4.16575521012357e-78
glrx	1	3.67241142289542e-82	-1.20574998536891	0.367	0.698	8.70875644825419e-78
ddx39ab	1	5.42307571920224e-82	-1.05704640072608	0.456	0.788	1.28602817605162e-77
tma7	1	5.8868813719612e-82	-1.03019194766735	0.644	0.89	1.39601504854688e-77
ywhabb	1	9.28765989882394e-82	-0.969725757662115	0.683	0.904	2.20247566840711e-77
tomm6	1	1.26686314439988e-81	-1.54196429969927	0.185	0.485	3.00423926062988e-77
tomm7	1	1.42761490157581e-81	-1.11554521513308	0.341	0.684	3.38544597759688e-77
psmc4	1	1.70326897341832e-81	-1.23897126222746	0.346	0.672	4.0391320435642e-77
rpl26	1	1.81524458062304e-81	-2.02903082917178	0.123	0.377	4.30467099848947e-77
rhocb	1	2.85082787455329e-81	-1.18187242543239	0.67	0.89	6.76045322171566e-77
psmb7	1	2.89390733015165e-81	-1.00626616052921	0.717	0.908	6.86261184272162e-77
hdac1	1	2.91889137134342e-81	-1.09496337488079	0.424	0.763	6.92185899800378e-77
calm3b	1	3.66130957474046e-81	-1.16428593932965	0.632	0.878	8.68242952553954e-77
ssr4	1	6.39693118855928e-81	-1.06096863171828	0.561	0.845	1.51696826205495e-76
blcap	1	9.53373877783607e-81	-1.05936685262268	0.51	0.816	2.26083081377605e-76
alas1	1	2.76065134026098e-80	1.22294766655219	0.83	0.736	6.54660858829488e-76
mibp2	1	3.67272453424925e-80	-0.951011557011062	0.929	0.984	8.70949896051868e-76
mknk2b	1	4.59686483932045e-80	1.30241409090286	0.81	0.661	1.09010052799645e-75
eif4a3	1	5.42755695590755e-80	-1.26142689555844	0.27	0.593	1.28709085652392e-75
si:ch73-281n10.2	1	5.64114577386487e-80	-1.19996226671701	0.365	0.702	1.33774130881432e-75
snrpf	1	7.81165904650615e-80	-0.98722435455665	0.49	0.812	1.85245682628847e-75
nsfl1c	1	8.84112764521494e-80	-1.89907823693596	0.146	0.408	2.09658500978627e-75
ndufc2	1	1.46180123476828e-79	-1.05420653555502	0.427	0.755	3.46651544812951e-75
snrpd2	1	2.23821631111833e-79	-1.14781830745024	0.368	0.704	5.307706160186e-75
ssr2	1	2.986926366153e-79	-1.06690126765493	0.465	0.784	7.08319718469522e-75
gnai2a	1	3.26689175013955e-79	-0.9900811258167	0.75	0.94	7.74710709628094e-75
fkbp1ab	1	3.60012802136659e-79	-2.10091652622845	0.106	0.348	8.53734358986874e-75
tnfrsfa	1	4.04244616683471e-79	2.26191765767132	0.448	0.123	9.58625684003182e-75
hspbp1	1	8.35932000155344e-79	2.70751376382578	0.405	0.089	1.98232914516838e-74
rpl34	1	2.65813823130458e-78	-0.612657989280806	0.998	1	6.30350900171568e-74
eif1axb	1	2.77008405644576e-78	-1.0573261539405	0.41	0.745	6.56897733145547e-74
cst3	1	4.81596325534881e-78	-0.937366955573348	0.646	0.904	1.14205752637342e-73
atp5fa1	1	4.93158165745681e-78	-0.923961540374106	0.779	0.932	1.16947527424931e-73
sgk1	1	4.94448943065898e-78	1.24246705776115	0.894	0.832	1.17253622358647e-73
GFP-gname	1	4.94566905968575e-78	-2.44350723894727	0.38	0.606	1.17281596081388e-73
mt-nd4l	1	7.54189885747157e-78	-2.06457641190592	0.104	0.342	1.78848589506081e-73
btg1	1	8.6209033898877e-78	0.632853781271255	0.997	0.992	2.04436102987797e-73
psmc6	1	9.93839305139177e-78	-1.62390277734812	0.173	0.448	2.35679052820705e-73
pfn1	1	9.93997156823973e-78	-1.05016749901127	0.757	0.902	2.35716485769237e-73
ssr3	1	1.20809336400951e-77	-0.917014134740252	0.623	0.885	2.86487260341215e-73
zgc:109934	1	1.30823521150464e-77	-3.64510288364264	0.166	0.411	3.1023489805621e-73
arpc4	1	1.93737107174895e-77	-1.65820811928501	0.146	0.415	4.59428175954545e-73
fkbp2	1	4.88742719535694e-77	-1.42965366664571	0.242	0.534	1.15900448510694e-72
tiparp	1	7.1034389839635e-77	0.973828823046652	0.911	0.847	1.6845095206571e-72
dynlt3	1	7.52494647427815e-77	-1.15162427851388	0.442	0.731	1.78446580691032e-72
hsp70.2	1	7.59943281808864e-77	1.49565372922766	0.938	0.817	1.80212949848154e-72
arhgap31	1	8.232978748741e-77	1.56767710853178	0.572	0.259	1.95236858047644e-72
plk2b	1	1.3814609355691e-76	-1.32752986294435	0.737	0.921	3.27599646260855e-72
apln	1	5.21670593076598e-76	-2.15906121821755	0.068	0.274	1.23708964442184e-71
bmp16	1	6.63818421155513e-76	1.67615308366989	0.548	0.214	1.57417900392818e-71
polr2l	1	6.97298948810838e-76	-1.17274741258152	0.37	0.689	1.65357472721002e-71
ndufb2	1	9.47923737571489e-76	-0.990049789982813	0.466	0.792	2.24790635127703e-71
magoh	1	1.54133844139394e-75	-1.33473665975255	0.238	0.545	3.65512997992158e-71
polr2f	1	2.65542596615121e-75	-1.10434290232113	0.333	0.657	6.29707713613098e-71
PLEKHH3	1	4.13160005992979e-75	1.9238638503597	0.482	0.167	9.7976763821175e-71
atp5mea	1	7.53058508495842e-75	-1.15456254742585	0.403	0.708	1.78580294704704e-70
bcl6b	1	9.12092076412386e-75	-1.77295062661151	0.348	0.599	2.16293515000433e-70
mcl1a	1	3.7967887618762e-74	0.724097266383147	0.988	0.982	9.00370486991322e-70
rpl37.1	1	4.64290510799479e-74	-0.562733178514367	1	1	1.10101851730989e-69
rpl29	1	5.41467251152063e-74	-0.599627069363922	0.995	0.999	1.284035439382e-69
rps29	1	1.40943819864655e-73	-0.585601098480018	0.999	1	3.34234174427043e-69
nfe2l2a	1	1.85130616860461e-73	1.13647166446187	0.831	0.751	4.39018744822897e-69
ndufs7	1	2.84257296066626e-73	-1.27283526625821	0.247	0.546	6.74087751892398e-69
bud31	1	4.19191500870713e-73	-1.11559089574382	0.345	0.669	9.94070725164809e-69
actc1b	1	5.79399790963125e-73	2.18756207978891	0.368	0.063	1.37398866428996e-68
b2m	1	8.64291562080114e-73	-2.99070284558637	0.053	0.238	2.04958101031678e-68
cox5ab	1	1.63681257788613e-72	-0.993176075081436	0.404	0.724	3.88153734719918e-68
fscn1a	1	1.7911027707824e-72	-2.11529817478529	0.211	0.46	4.24742111063338e-68
psmc1b	1	2.03426738373734e-72	-2.18773353513508	0.075	0.283	4.82406167379474e-68
arpc5b	1	8.99293428968205e-72	-2.43296976450771	0.077	0.284	2.1325844374552e-67
vcp	1	1.10027457533685e-71	-0.980873100432312	0.727	0.908	2.6091911279538e-67
si:dkey-286j15.1	1	1.20391623049437e-71	-1.90384045631881	0.117	0.351	2.85496694899434e-67
hmgn6	1	1.67306075371944e-71	-0.907076484483067	0.616	0.858	3.96749627137028e-67
dynlrb1	1	2.34933249267699e-71	-0.996362128703487	0.433	0.748	5.57120707313421e-67
fam133b	1	3.23995251151329e-71	-1.40918827720481	0.216	0.5	7.68322338580262e-67
srsf7a	1	3.60564521547302e-71	-1.06550584252775	0.357	0.681	8.55042706397271e-67
zgc:91910	1	4.86012088444125e-71	-1.25295546286159	0.255	0.552	1.1525290665364e-66
tmem88b	1	5.13433705253059e-71	-0.916291409509751	0.444	0.757	1.2175566886371e-66
ndufab1a	1	5.95518744675626e-71	-1.26485947068119	0.229	0.523	1.41221315112378e-66
ppib	1	1.31828381650096e-70	-0.789981260903643	0.823	0.96	3.12617824245037e-66
scpp8	1	1.36466970690538e-70	-3.92378879154448	0.038	0.201	3.23617774295541e-66
ponzr1	1	4.39887090683251e-70	-0.878083376803124	0.554	0.841	1.04314824684626e-65
ndufb6	1	4.9647130304313e-70	-1.11469111731611	0.293	0.602	1.17733204803648e-65
ywhae1	1	4.97403557441612e-70	-0.87284799531973	0.608	0.871	1.17954279611704e-65
plecb	1	6.89686857591672e-70	1.13105645913619	0.784	0.694	1.63552341409289e-65
hnrnpaba	1	8.79893051174141e-70	-0.6615267256787	0.971	0.999	2.08657838155436e-65
mtus1b	1	8.97008198002958e-70	2.04949030178096	0.459	0.16	2.12716524074422e-65
smarce1	1	1.02034278455814e-69	-0.981896912900509	0.399	0.725	2.41964087930117e-65
rpl38	1	1.02068002399765e-69	-0.586630591422154	0.999	1	2.42044060890802e-65
prdx4	1	1.5549257543517e-69	-1.3047473413979	0.241	0.524	3.68735093386963e-65
gadd45ba	1	2.18054632473131e-69	-0.894956701270606	0.898	0.988	5.17094755446783e-65
pmp22b	1	2.58450888325599e-69	1.27464552509311	0.756	0.593	6.12890436575326e-65
glsb	1	5.40293108995572e-69	2.56681647533021	0.393	0.105	1.2812510786721e-64
rps27l	1	7.40206378472545e-69	-1.10078726180734	0.449	0.779	1.75532540590979e-64
cox8a	1	7.60416006062493e-69	-0.786763540405485	0.843	0.943	1.80325051677659e-64
cdc42	1	1.08830922309061e-68	-0.963961722372654	0.615	0.857	2.58081649163708e-64
efna1a	1	1.27389602980491e-68	1.34755142784304	0.732	0.623	3.02091704507936e-64
denr	1	1.72791816816337e-68	-1.2949720012339	0.222	0.504	4.09758514398263e-64
emc9	1	1.79188230969093e-68	-2.36511030879607	0.055	0.238	4.24926970920107e-64
mgst1.2	1	2.16051240303444e-68	3.46201915527513	0.312	0.04	5.12343911255588e-64
her15.1.1	1	2.23417486243567e-68	-2.28007794102354	0.193	0.452	5.29812226877994e-64
ndufa2	1	4.00284388506827e-68	-1.40178595850841	0.198	0.47	9.4923439890509e-64
si:dkey-42i9.6	1	4.63068756998465e-68	-0.95765419156597	0.515	0.798	1.09812125034616e-63
si:ch211-51e12.7	1	5.7770270279756e-68	-1.39236162306971	0.208	0.483	1.36996418941413e-63
polr2eb	1	9.28929519572208e-68	-1.35023976994382	0.231	0.507	2.20286346271353e-63
RPL41	1	1.06517660199729e-67	-0.540611786712573	1	1	2.52595979397637e-63
atp5pf	1	1.27768802047737e-67	-0.770752429770936	0.742	0.929	3.02990937176003e-63
ndufb4	1	2.15426546723691e-67	-0.961661185000721	0.404	0.715	5.10862512900562e-63
lsm8	1	2.72804270724263e-67	-1.42954752694466	0.201	0.468	6.46928047595516e-63
her4.3	1	3.86709403422903e-67	-3.92498699183347	0.013	0.135	9.17042679277072e-63
ppp2cb	1	4.23663242091434e-67	-0.812493748389618	0.692	0.917	1.00467501229563e-62
cox6a1	1	6.5962765793319e-67	-0.71993960564751	0.825	0.947	1.56424102802277e-62
si:ch211-191j22.3	1	1.27418401701147e-66	-1.0663473436547	0.379	0.669	3.02159997794101e-62
fkbp5	1	2.35234147709882e-66	2.44608269724125	0.367	0.084	5.57834257879215e-62
atp5meb	1	2.91233431543024e-66	-0.817799486104803	0.68	0.891	6.90630959561127e-62
cbx5	1	2.99764579896265e-66	-1.14774092511496	0.232	0.521	7.10861724766003e-62
h3f3b.1.1	1	3.97571135612548e-66	-1.01207437492613	0.47	0.767	9.42800190991597e-62
antxr2a	1	5.24431930938672e-66	-1.96864855998749	0.112	0.332	1.24363788102797e-61
psmd14	1	5.35842682162605e-66	-1.29826345317018	0.24	0.519	1.2706973364804e-61
NC-002333.4	1	6.92111582427629e-66	0.427345679576506	1	1	1.64127340656888e-61
si:ch211-214p16.2	1	8.86661685436442e-66	-1.56317547706217	0.152	0.407	2.10262952084398e-61
epas1b	1	1.12692023495475e-65	2.17728304820188	0.433	0.147	2.67237864517169e-61
nfkb2	1	1.28065129202642e-65	-1.71572997268615	0.137	0.37	3.03693647391146e-61
atp5mc3a	1	3.51278384255434e-65	-0.909478157500589	0.653	0.865	8.33021560423336e-61
psmc3	1	4.06809685153777e-65	-1.62348720221419	0.165	0.407	9.64708487373668e-61
naa10	1	6.03677504453616e-65	-1.05204034666403	0.327	0.64	1.43156083406131e-60
btf3l4	1	1.0064607313748e-64	-1.3731401720539	0.185	0.448	2.3867209783822e-60
ostc	1	1.10480182622209e-64	-1.09516122674274	0.37	0.655	2.61992705070307e-60
ginm1	1	1.69765392517711e-64	-0.956061363568712	0.546	0.822	4.025816518165e-60
minos1	1	1.88424120930752e-64	-1.0964480395381	0.293	0.588	4.46828960375186e-60
rbx1	1	3.65750242979373e-64	-0.902300225232033	0.619	0.863	8.67340126201286e-60
eif5a2	1	5.29023200601501e-64	-0.774156658931564	0.743	0.926	1.2545256179064e-59
tie1	1	5.80657268218839e-64	0.74477163026435	0.908	0.873	1.37697064585415e-59
si:ch211-235e9.6	1	5.87430315843948e-64	-1.87606736347956	0.131	0.356	1.39303225099234e-59
